"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"450" 4 1 0.5 1024 0.9218 0.575837954159417 1
"451" 7 2 0.9 256 0.9775 0.575788523540472 2
"452" 8 2 0.5 32 0.9751 0.575762650189803 1
"453" 5 1 0.8 256 0.9208 0.575753275766792 1
"454" 4 3 0.5 10000 0.9769 0.575694777610259 1
"455" 8 2 0.5 512 0.9752 0.575684406763403 1
"456" 6 2 0.3 32 0.9774 0.575655074041882 2
"457" 6 3 0.7 64 0.9773 0.575644515134932 1
"458" 6 1 0.5 1 0.9171 0.575637844410981 1
"459" 8 3 0.2 10000 0.9769 0.575635381856157 1
"460" 3 2 0.3 4 0.9726 0.575616083619015 1
"461" 4 1 0.6 256 0.9214 0.575591294229561 1
"462" 3 1 0.1 32 0.9195 0.575563653421789 1
"463" 4 1 0.6 1024 0.9215 0.57556031156372 1
"464" 7 2 0.9 1024 0.9775 0.575542301936744 2
"465" 6 1 0.7 2 0.9193 0.57552357997531 1
"466" 5 2 0.1 10000 0.9749 0.575523121834337 1
"467" 4 1 0.6 512 0.9215 0.575514696023923 1
"468" 3 2 0.7 64 0.9746 0.575503086305369 1
"469" 4 1 0.6 128 0.9215 0.57549156349337 1
"470" 7 2 0.2 512 0.9775 0.575483804030257 2
"471" 3 2 0.5 1 0.9663 0.575457557514707 1
"472" 7 1 0.7 2 0.9188 0.575438209979323 1
"473" 3 2 0.7 128 0.9746 0.575429179614233 1
